kernel,mode,size_factor,working_set_bytes,bytes_accessed,iterations,median_ms,min_ms,max_ms,bw_GBps
seq_stream,device,0.5,16834658304,16834658304,3,0.568,0.568,0.569,29616.792
seq_stream,device,0.75,25251987456,25251987456,3,0.865,0.864,0.865,29207.366
seq_stream,uvm,0.5,16834658304,16834658304,3,0.57,0.57,0.573,29530.345
seq_stream,uvm,0.75,25251987456,25251987456,3,0.861,0.859,0.864,29336.577
seq_stream,uvm,1.0,33669316608,33669316608,3,137.351,98.251,170.987,245.133
seq_stream,uvm,1.25,42086645760,42086645760,3,1931.438,980.881,1938.004,21.79
seq_stream,uvm,1.5,50503974912,50503974912,3,1973.304,1334.415,2136.311,25.594
rand_stream,device,0.5,16834658304,16834658304,3,0.582,0.582,0.585,28939.055
rand_stream,device,0.75,25251987456,25251987456,3,0.864,0.864,0.867,29214.935
rand_stream,uvm,0.5,16834658304,16834658304,3,0.572,0.572,0.574,29434.514
rand_stream,uvm,0.75,25251987456,25251987456,3,0.864,0.863,0.866,29231.168
rand_stream,uvm,1.0,33669316608,33669316608,3,80.714,80.308,90.906,417.143
rand_stream,uvm,1.25,42086645760,42086645760,3,1211.773,1169.421,1516.91,34.731
rand_stream,uvm,1.5,50503974912,50503974912,3,1674.268,1597.593,1688.683,30.165
pointer_chase,device,0.5,16834658304,6291456,3,0.009,0.008,0.009,704.688
pointer_chase,device,0.75,25251987456,6291456,3,0.009,0.009,0.009,704.688
pointer_chase,uvm,0.5,16834658304,6291456,3,0.009,0.009,0.009,694.728
pointer_chase,uvm,0.75,25251987456,6291456,3,0.009,0.008,0.009,692.282
pointer_chase,uvm,1.0,33669316608,6291456,3,0.009,0.008,0.011,712.348
pointer_chase,uvm,1.25,42086645760,6291456,3,924.816,729.052,956.17,0.007
pointer_chase,uvm,1.5,50503974912,6291456,3,3821.263,3567.89,3910.741,0.002
