
========================================
[2026-03-30 09:47:48.066] vLLM UVM Allocator Session Started
========================================

========================================
[2026-03-30 09:56:14.520] vLLM UVM Allocator Session Started
========================================

========================================
[2026-03-30 09:57:37.880] vLLM UVM Allocator Session Started
========================================

========================================
[2026-03-30 10:02:43.613] vLLM UVM Allocator Session Started
========================================

========================================
[2026-03-30 10:02:54.769] vLLM UVM Allocator Session Started
========================================

========================================
[2026-03-30 10:06:37.034] vLLM UVM Allocator Session Started
========================================

========================================
[2026-03-30 10:06:48.202] vLLM UVM Allocator Session Started
========================================
[2026-03-30 10:06:52.806] [+4.604s] ALLOC #29: 622.33 MB | device: 0 | total: 0.64 GB | peak: 0.64 GB
[2026-03-30 10:06:53.045] [+4.844s] ALLOC #63: 402.65 MB | device: 0 | total: 1.07 GB | peak: 1.07 GB
[2026-03-30 10:06:53.046] [+4.844s] ALLOC #64: 201.33 MB | device: 0 | total: 1.27 GB | peak: 1.27 GB
[2026-03-30 10:06:53.048] [+4.847s] ALLOC #88: 402.65 MB | device: 0 | total: 1.70 GB | peak: 1.70 GB
[2026-03-30 10:06:53.048] [+4.847s] ALLOC #89: 201.33 MB | device: 0 | total: 1.90 GB | peak: 1.90 GB
[2026-03-30 10:06:53.050] [+4.849s] ALLOC #113: 402.65 MB | device: 0 | total: 2.32 GB | peak: 2.32 GB
[2026-03-30 10:06:53.050] [+4.849s] ALLOC #114: 201.33 MB | device: 0 | total: 2.52 GB | peak: 2.52 GB
[2026-03-30 10:06:53.053] [+4.851s] ALLOC #138: 402.65 MB | device: 0 | total: 2.94 GB | peak: 2.94 GB
[2026-03-30 10:06:53.053] [+4.851s] ALLOC #139: 201.33 MB | device: 0 | total: 3.14 GB | peak: 3.14 GB
[2026-03-30 10:06:53.055] [+4.853s] ALLOC #163: 402.65 MB | device: 0 | total: 3.57 GB | peak: 3.57 GB
[2026-03-30 10:06:53.055] [+4.853s] ALLOC #164: 201.33 MB | device: 0 | total: 3.77 GB | peak: 3.77 GB
[2026-03-30 10:06:53.057] [+4.855s] ALLOC #188: 402.65 MB | device: 0 | total: 4.19 GB | peak: 4.19 GB
[2026-03-30 10:06:53.057] [+4.856s] ALLOC #189: 201.33 MB | device: 0 | total: 4.39 GB | peak: 4.39 GB
[2026-03-30 10:06:53.059] [+4.858s] ALLOC #213: 402.65 MB | device: 0 | total: 4.81 GB | peak: 4.81 GB
[2026-03-30 10:06:53.059] [+4.858s] ALLOC #214: 201.33 MB | device: 0 | total: 5.01 GB | peak: 5.01 GB
